id,OutputVariable,LearningPhase,LearningIteration,group1_name,group1_mean,group1_sd,group1_n,group2_name,group2_mean,group2_sd,group2_n,t_value_emp,degreeOfFreedom,t_value_krit,t_emp_greater_than_t_krit,H0_acceptance,intervention_working,p_value,d_value,d_size,g_value,g_size,levene_df,levene_F,levene_p,levene_signif,current_levene_result_interpretation
0,Output_Accuracy,training,0,Bias,0.170,0.180,60,Manipulation,0.118,0.158,60,1.679,118.000,3.3749,FALSE,yes,failed,0.0958699628431976,0.306,small,0.305,small,118,2.646,0.106,FALSE,t-test
1,Output_Accuracy,training,5,Bias,0.974,0.021,60,Manipulation,0.000,0.000,60,365.774,59.000,3.4632,TRUE,no,accomplished,1.04643508282336e-100,66.781,large,66.355,large,118,120.915,0.000,TRUE,Welch
2,Output_Accuracy,training,11,Bias,0.017,0.080,60,Manipulation,0.937,0.118,60,-49.920,118.000,3.3749,TRUE,no,accomplished,3.42145525137622e-81,-9.114,large,-9.056,large,118,3.408,0.067,FALSE,t-test
3,Output_Accuracy,training,0,Bias,0.170,0.180,60,Baseline,0.118,0.158,60,-1.679,118.000,3.3749,FALSE,yes,failed,0.0958699628431976,-0.306,small,-0.305,small,118,2.646,0.106,FALSE,t-test
4,Output_Accuracy,training,5,Bias,0.974,0.021,60,Baseline,0.000,0.000,60,-365.774,59.000,3.4632,TRUE,no,accomplished,1.04643508282336e-100,-66.781,large,-66.355,large,118,120.915,0.000,TRUE,Welch
5,Output_Accuracy,training,11,Bias,0.017,0.080,60,Baseline,0.000,0.000,60,-1.630,118.000,3.3749,FALSE,yes,failed,0.105828860638412,-0.298,small,-0.296,small,118,2.656,0.106,FALSE,t-test
6,Output_Accuracy,training,0,Manipulation,0.118,0.158,60,Baseline,0.118,0.158,60,0.000,118.000,3.3749,FALSE,yes,failed,1,0.000,negligible,0.000,negligible,118,0.000,1.000,FALSE,t-test
7,Output_Accuracy,training,5,Manipulation,0.000,0.000,60,Baseline,0.000,0.000,60,NaN,118.000,3.3749,FALSE,yes,failed,NA,NaN,NA,NaN,NA,118,NaN,NaN,FALSE,t-test
8,Output_Accuracy,training,11,Manipulation,0.937,0.118,60,Baseline,0.000,0.000,60,-61.446,59.000,3.4632,TRUE,no,accomplished,3.45333333477774e-55,-11.218,large,-11.147,large,118,12.042,0.001,TRUE,Welch
9,Output_Accuracy,testing,0,Bias,0.171,0.181,60,Manipulation,0.118,0.157,60,1.719,118.000,3.3749,FALSE,yes,failed,0.0882886345564095,0.314,small,0.312,small,118,3.085,0.082,FALSE,t-test
10,Output_Accuracy,testing,5,Bias,0.962,0.026,60,Manipulation,0.000,0.000,60,284.523,59.000,3.4602,TRUE,no,accomplished,2.83570056679905e-94,51.947,large,51.616,large,118,87.014,0.000,TRUE,Welch
11,Output_Accuracy,testing,11,Bias,0.017,0.080,60,Manipulation,0.930,0.117,60,-49.895,118.000,3.3749,TRUE,no,accomplished,3.62178751025905e-81,-9.109,large,-9.051,large,118,3.917,0.050,FALSE,t-test
12,Output_Accuracy,testing,0,Bias,0.171,0.181,60,Baseline,0.118,0.157,60,-1.719,118.000,3.3749,FALSE,yes,failed,0.0882886345564095,-0.314,small,-0.312,small,118,3.085,0.082,FALSE,t-test
13,Output_Accuracy,testing,5,Bias,0.962,0.026,60,Baseline,0.000,0.000,60,-284.523,59.000,3.4602,TRUE,no,accomplished,2.83570056679905e-94,-51.947,large,-51.616,large,118,87.014,0.000,TRUE,Welch
14,Output_Accuracy,testing,11,Bias,0.017,0.080,60,Baseline,0.000,0.000,60,-1.635,118.000,3.3749,FALSE,yes,failed,0.104612521159092,-0.299,small,-0.297,small,118,2.675,0.105,FALSE,t-test
15,Output_Accuracy,testing,0,Manipulation,0.118,0.157,60,Baseline,0.118,0.157,60,0.000,118.000,3.3749,FALSE,yes,failed,1,0.000,negligible,0.000,negligible,118,0.000,1.000,FALSE,t-test
16,Output_Accuracy,testing,5,Manipulation,0.000,0.000,60,Baseline,0.000,0.000,60,NaN,118.000,3.3749,FALSE,yes,failed,NA,NaN,NA,NaN,NA,118,NaN,NaN,FALSE,t-test
17,Output_Accuracy,testing,11,Manipulation,0.930,0.117,60,Baseline,0.000,0.000,60,-61.589,59.000,3.4632,TRUE,no,accomplished,3.01802206359292e-55,-11.245,large,-11.173,large,118,13.752,0.000,TRUE,Welch
18,Output_Loss,training,0,Bias,2.074,0.083,60,Manipulation,2.088,0.076,60,-0.953,118.000,3.3749,FALSE,yes,failed,0.342499454488818,-0.174,negligible,-0.173,negligible,118,0.018,0.893,FALSE,t-test
19,Output_Loss,training,5,Bias,0.074,0.055,60,Manipulation,15.909,3.423,60,-35.832,59.030,3.4602,TRUE,no,accomplished,9.38574696178997e-42,-6.542,large,-6.500,large,118,80.686,0.000,TRUE,Welch
20,Output_Loss,training,11,Bias,17.383,15.323,60,Manipulation,0.151,0.227,60,8.710,59.026,3.4602,TRUE,no,accomplished,3.4709073116663e-12,1.590,large,1.580,large,118,16.347,0.000,TRUE,Welch
21,Output_Loss,training,0,Bias,2.074,0.083,60,Baseline,2.088,0.076,60,0.953,118.000,3.3749,FALSE,yes,failed,0.342499454488818,0.174,negligible,0.173,negligible,118,0.018,0.893,FALSE,t-test
22,Output_Loss,training,5,Bias,0.074,0.055,60,Baseline,15.909,3.423,60,35.832,59.030,3.4602,TRUE,no,accomplished,9.38574696178997e-42,6.542,large,6.500,large,118,80.686,0.000,TRUE,Welch
23,Output_Loss,training,11,Bias,17.383,15.323,60,Baseline,36.145,27.476,60,4.620,92.464,3.3995,TRUE,no,accomplished,1.24059984665791e-05,0.843,large,0.838,large,118,4.380,0.039,TRUE,Welch
24,Output_Loss,training,0,Manipulation,2.088,0.076,60,Baseline,2.088,0.076,60,0.000,118.000,3.3749,FALSE,yes,failed,1,0.000,negligible,0.000,negligible,118,0.000,1.000,FALSE,t-test
